"3335","18","indirect commission L6","approved","0.5","in","arianfx","2022-04-05 07:37:04","2022-04-05 07:37:04",NULL,"0"
"3348","18","indirect commission L6","approved","2","in","Greatmby","2022-04-05 11:09:54","2022-04-05 11:09:54",NULL,"0"
"3365","18","indirect commission L6","approved","30","in","DOLLARBASE","2022-04-05 19:47:29","2022-04-05 19:47:29",NULL,"0"
"3382","18","indirect commission L6","approved","2","in","Maryjane247","2022-04-05 21:41:28","2022-04-05 21:41:28",NULL,"0"
"3390","18","indirect commission L6","approved","0.5","in","Maryjane247","2022-04-05 21:41:53","2022-04-05 21:41:53",NULL,"0"
"3398","18","indirect commission L6","approved","0.5","in","Maryjane247","2022-04-05 21:42:10","2022-04-05 21:42:10",NULL,"0"
"3406","18","indirect commission L6","approved","0.5","in","Maryjane247","2022-04-05 21:42:32","2022-04-05 21:42:32",NULL,"0"
"3415","18","indirect commission L6","approved","10","in","Gracetime","2022-04-05 21:57:00","2022-04-05 21:57:00",NULL,"0"
"3730","18","indirect commission L5","approved","0.5","in","Harry11","2022-04-06 07:23:02","2022-04-06 07:23:02",NULL,"0"
"3748","18","indirect commission L5","approved","2","in","Jessydamsel","2022-04-06 15:49:13","2022-04-06 15:49:13",NULL,"0"
"4072","18","indirect commission L6","approved","30","in","Treasure4me","2022-04-07 08:56:26","2022-04-07 08:56:26",NULL,"0"
"4125","18","indirect commission L4","approved","10","in","Sultan786","2022-04-07 17:13:34","2022-04-07 17:13:34",NULL,"0"
"4462","18","indirect commission L2","approved","1000","in","Shahzad Alam","2022-04-08 07:29:24","2022-04-08 07:29:24",NULL,"0"
"4511","18","indirect commission L5","approved","0.5","in","ONYILONDON","2022-04-08 16:55:03","2022-04-08 16:55:03",NULL,"0"
"4518","18","indirect commission L5","approved","0.5","in","ONYILONDON","2022-04-08 16:56:00","2022-04-08 16:56:00",NULL,"0"
"4547","18","indirect commission L6","approved","0.5","in","Evervictorious","2022-04-08 18:36:43","2022-04-08 18:36:43",NULL,"0"
"4556","18","indirect commission L6","approved","0.5","in","Richqueen","2022-04-08 18:53:28","2022-04-08 18:53:28",NULL,"0"
"4570","18","indirect commission L5","approved","2","in","Glorious","2022-04-08 21:40:35","2022-04-08 21:40:35",NULL,"0"
"4582","18","indirect commission L6","approved","10","in","Oluomo","2022-04-08 22:21:26","2022-04-08 22:21:26",NULL,"0"
"4591","18","indirect commission L6","approved","10","in","Akanda","2022-04-08 22:50:52","2022-04-08 22:50:52",NULL,"0"
"4992","18","indirect commission L1","approved","25","in","testingID","2022-04-09 15:44:39","2022-04-09 15:44:39",NULL,"0"
"4995","18","indirect commission L1","approved","10","in","testingID","2022-04-09 15:45:01","2022-04-09 15:45:01",NULL,"0"
"4999","18","indirect commission L1","approved","2.5","in","testingID","2022-04-09 15:47:19","2022-04-09 15:47:19",NULL,"0"
"5002","18","indirect commission L1","approved","2.5","in","testingID","2022-04-09 15:47:29","2022-04-09 15:47:29",NULL,"0"
"5020","18","indirect commission L6","approved","0.5","in","Sheiladolla","2022-04-09 16:46:40","2022-04-09 16:46:40",NULL,"0"
"5047","18","indirect commission L4","approved","1","in","Debest","2022-04-09 22:57:46","2022-04-09 22:57:46",NULL,"0"
"5053","18","indirect commission L4","approved","1","in","Debest","2022-04-09 22:58:05","2022-04-09 22:58:05",NULL,"0"
"5059","18","indirect commission L4","approved","1","in","Debest","2022-04-09 22:58:29","2022-04-09 22:58:29",NULL,"0"
"5088","18","indirect commission L5","approved","5","in","teamafrica","2022-04-09 23:37:17","2022-04-09 23:37:17",NULL,"0"
"5095","18","indirect commission L4","approved","1","in","Debest","2022-04-09 23:48:31","2022-04-09 23:48:31",NULL,"0"
"5103","18","indirect commission L6","approved","30","in","my500support","2022-04-09 23:51:32","2022-04-09 23:51:32",NULL,"0"
"5505","18","indirect commission L5","approved","2","in","Nkbright","2022-04-10 00:35:41","2022-04-10 00:35:41",NULL,"0"
"5514","18","indirect commission L4","approved","4","in","Debest","2022-04-10 05:47:48","2022-04-10 05:47:48",NULL,"0"
"5535","18","indirect commission L1","approved","25","in","testingID","2022-04-10 15:03:24","2022-04-10 15:03:24",NULL,"0"
"6478","18","indirect commission L6","approved","0.5","in","Donypil2022","2022-04-12 05:18:24","2022-04-12 05:18:24",NULL,"0"
"6529","18","indirect commission L1","approved","2.5","in","testingID","2022-04-12 13:41:55","2022-04-12 13:41:55",NULL,"0"
"6532","18","indirect commission L1","approved","2.5","in","testingID","2022-04-12 13:42:14","2022-04-12 13:42:14",NULL,"0"
"6566","18","indirect commission L5","approved","30","in","tuokon","2022-04-12 19:04:06","2022-04-12 19:04:06",NULL,"0"
"6577","18","indirect commission L5","approved","0.5","in","Nkbright","2022-04-12 22:53:13","2022-04-12 22:53:13",NULL,"0"
"6584","18","indirect commission L5","approved","0.5","in","Nkbright","2022-04-12 22:53:35","2022-04-12 22:53:35",NULL,"0"
"6593","18","indirect commission L6","approved","0.5","in","venski","2022-04-13 00:56:19","2022-04-13 00:56:19",NULL,"0"
"7082","18","indirect commission L6","approved","2","in","Babatundehba","2022-04-13 09:51:42","2022-04-13 09:51:42",NULL,"0"
"7089","18","indirect commission L1","approved","2.5","in","testingID","2022-04-13 14:15:10","2022-04-13 14:15:10",NULL,"0"
"7585","18","direct commission","approved","20","in","skyline","2022-04-14 14:13:24","2022-04-14 14:13:24",NULL,"0"
"7587","18","direct commission","approved","5","in","skyline","2022-04-14 14:15:06","2022-04-14 14:15:06",NULL,"0"
"8067","18","indirect commission L6","approved","0.5","in","jamespo","2022-04-15 06:34:50","2022-04-15 06:34:50",NULL,"0"
"8075","18","indirect commission L6","approved","0.5","in","jamespo","2022-04-15 06:35:43","2022-04-15 06:35:43",NULL,"0"
"8079","18","indirect commission L1","approved","2.5","in","Imran1124","2022-04-15 08:52:20","2022-04-15 08:52:20",NULL,"0"
